From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q06787	Q06787	reviewed	FMR1_HUMAN	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1)	FMR1	Homo sapiens (Human)	632
Q9C0B1	Q9C0B1	reviewed	FTO_HUMAN	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752	Homo sapiens (Human)	505
Q9BVP2	Q9BVP2	reviewed	GNL3_HUMAN	Guanine nucleotide-binding protein-like 3 (E2-induced gene 3 protein) (Novel nucleolar protein 47) (NNP47) (Nucleolar GTP-binding protein 3) (Nucleostemin)	GNL3 E2IG3 NS	Homo sapiens (Human)	549
Q9Y6M1	Q9Y6M1	reviewed	IF2B2_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 2 (IGF2 mRNA-binding protein 2) (IMP-2) (Hepatocellular carcinoma autoantigen p62) (IGF-II mRNA-binding protein 2) (VICKZ family member 2)	IGF2BP2 IMP2 VICKZ2	Homo sapiens (Human)	599
P78344	P78344	reviewed	IF4G2_HUMAN	Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Death-associated protein 5) (DAP-5) (p97)	EIF4G2 DAP5 OK/SW-cl.75	Homo sapiens (Human)	907
P50579	P50579	reviewed	MAP2_HUMAN	Methionine aminopeptidase 2 (MAP 2) (MetAP 2) (EC 3.4.11.18) (Initiation factor 2-associated 67 kDa glycoprotein) (p67) (p67eIF2) (Peptidase M)	METAP2 MNPEP P67EIF2	Homo sapiens (Human)	478
Q9NVV4	Q9NVV4	reviewed	PAPD1_HUMAN	Poly(A) RNA polymerase, mitochondrial (PAP) (EC 2.7.7.19) (PAP-associated domain-containing protein 1) (Polynucleotide adenylyltransferase) (Terminal uridylyltransferase 1) (TUTase 1) (mtPAP)	MTPAP PAPD1	Homo sapiens (Human)	582
P62280	P62280	reviewed	RS11_HUMAN	40S ribosomal protein S11 (Small ribosomal subunit protein uS17)	RPS11	Homo sapiens (Human)	158
Q9Y3A5	Q9Y3A5	reviewed	SBDS_HUMAN	Ribosome maturation protein SBDS (Shwachman-Bodian-Diamond syndrome protein)	SBDS CGI-97	Homo sapiens (Human)	250
P49588	P49588	reviewed	SYAC_HUMAN	Alanine--tRNA ligase, cytoplasmic (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Renal carcinoma antigen NY-REN-42)	AARS1 AARS	Homo sapiens (Human)	968
Q9Y606	Q9Y606	reviewed	PUS1_HUMAN	Pseudouridylate synthase 1 homolog (EC 5.4.99.-) (tRNA pseudouridine synthase 1) (EC 5.4.99.12) (tRNA pseudouridine(38-40) synthase) (tRNA pseudouridylate synthase I) (tRNA-uridine isomerase I)	PUS1 PP8985	Homo sapiens (Human)	427
P16989	P16989	reviewed	YBOX3_HUMAN	Y-box-binding protein 3 (Cold shock domain-containing protein A) (DNA-binding protein A) (Single-strand DNA-binding protein NF-GMB)	YBX3 CSDA DBPA	Homo sapiens (Human)	372
Q969S3	Q969S3	reviewed	ZN622_HUMAN	Cytoplasmic 60S subunit biogenesis factor ZNF622 (Zinc finger protein 622) (Zinc finger-like protein 9)	ZNF622 ZPR9	Homo sapiens (Human)	477
O95218	O95218	reviewed	ZRAB2_HUMAN	Zinc finger Ran-binding domain-containing protein 2 (Zinc finger protein 265) (Zinc finger, splicing)	ZRANB2 ZIS ZNF265	Homo sapiens (Human)	330
Q9QYS9	Q9QYS9	reviewed	QKI_MOUSE	KH domain-containing RNA-binding protein QKI (Protein quaking) (MqkI)	Qki Qk Qk1	Mus musculus (Mouse)	341
Q8R326	Q8R326	reviewed	PSPC1_MOUSE	Paraspeckle component 1 (Paraspeckle protein 1) (mPSP1)	Pspc1 Psp1	Mus musculus (Mouse)	523
P35922	P35922	reviewed	FMR1_MOUSE	Fragile X messenger ribonucleoprotein 1 (Fragile X messenger ribonucleoprotein) (FMRP) (Protein FMR-1) (mFmr1p)	Fmr1 Fmr-1	Mus musculus (Mouse)	614
P56959	P56959	reviewed	FUS_MOUSE	RNA-binding protein FUS (Protein pigpen)	Fus	Mus musculus (Mouse)	518
Q64368	Q64368	reviewed	DAZL_MOUSE	Deleted in azoospermia-like (DAZ-like autosomal) (Deleted in azoospermia-like 1)	Dazl Dazl1 Dazla	Mus musculus (Mouse)	298
Q5TC82	Q5TC82	reviewed	RC3H1_HUMAN	Roquin-1 (Roquin) (EC 2.3.2.27) (RING finger and C3H zinc finger protein 1) (RING finger and CCCH-type zinc finger domain-containing protein 1) (RING finger protein 198)	RC3H1 KIAA2025 RNF198	Homo sapiens (Human)	1133
Q12926	Q12926	reviewed	ELAV2_HUMAN	ELAV-like protein 2 (ELAV-like neuronal protein 1) (Hu-antigen B) (HuB) (Nervous system-specific RNA-binding protein Hel-N1)	ELAVL2 HUB	Homo sapiens (Human)	359
Q14576	Q14576	reviewed	ELAV3_HUMAN	ELAV-like protein 3 (Hu-antigen C) (HuC) (Paraneoplastic cerebellar degeneration-associated antigen) (Paraneoplastic limbic encephalitis antigen 21)	ELAVL3 HUC PLE21	Homo sapiens (Human)	367
Q9BZC1	Q9BZC1	reviewed	CELF4_HUMAN	CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)	CELF4 BRUNOL4	Homo sapiens (Human)	486
Q8BP71	Q8BP71	reviewed	RFOX2_MOUSE	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Fox-1 homolog Fxh) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9)	Rbfox2 Fox2 Fxh Hrnbp2 Rbm9	Mus musculus (Mouse)	449
Q8CJG1	Q8CJG1	reviewed	AGO1_MOUSE	Protein argonaute-1 (Argonaute1) (mAgo1) (Argonaute RISC catalytic component 1) (Eukaryotic translation initiation factor 2C 1) (eIF-2C 1) (eIF2C 1) (Piwi/argonaute family protein meIF2C1)	Ago1 Eif2c1	Mus musculus (Mouse)	857
Q8CJF8	Q8CJF8	reviewed	AGO4_MOUSE	Protein argonaute-4 (Argonaute4) (mAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4) (Piwi/argonaute family protein meIF2C4)	Ago4 Eif2c4 Kiaa1567	Mus musculus (Mouse)	861
P22893	P22893	reviewed	TTP_MOUSE	mRNA decay activator protein ZFP36 (Growth factor-inducible nuclear protein NUP475) (TPA-induced sequence 11) (Tristetraprolin) (Zinc finger protein 36) (Zfp-36)	Zfp36 Nup475 Tis11 Tis11a Ttp	Mus musculus (Mouse)	319
Q9BYJ9	Q9BYJ9	reviewed	YTHD1_HUMAN	YTH domain-containing family protein 1 (DF1) (Dermatomyositis associated with cancer putative autoantigen 1) (DACA-1)	YTHDF1 C20orf21	Homo sapiens (Human)	559
Q921E6	Q921E6	reviewed	EED_MOUSE	Polycomb protein EED	Eed	Mus musculus (Mouse)	441
Q80U70	Q80U70	reviewed	SUZ12_MOUSE	Polycomb protein Suz12 (Suppressor of zeste 12 protein homolog)	Suz12 D11Ertd530e Kiaa0160	Mus musculus (Mouse)	741
Q9UKV8	Q9UKV8	reviewed	AGO2_HUMAN	Protein argonaute-2 (Argonaute2) (hAgo2) (EC 3.1.26.n2) (Argonaute RISC catalytic component 2) (Eukaryotic translation initiation factor 2C 2) (eIF-2C 2) (eIF2C 2) (PAZ Piwi domain protein) (PPD) (Protein slicer)	AGO2 EIF2C2	Homo sapiens (Human)	859
Q9H9G7	Q9H9G7	reviewed	AGO3_HUMAN	Protein argonaute-3 (Argonaute3) (hAgo3) (EC 3.1.26.n2) (Argonaute RISC catalytic component 3) (Eukaryotic translation initiation factor 2C 3) (eIF-2C 3) (eIF2C 3)	AGO3 EIF2C3	Homo sapiens (Human)	860
Q9HCK5	Q9HCK5	reviewed	AGO4_HUMAN	Protein argonaute-4 (Argonaute4) (hAgo4) (Argonaute RISC catalytic component 4) (Eukaryotic translation initiation factor 2C 4) (eIF-2C 4) (eIF2C 4)	AGO4 EIF2C4 KIAA1567	Homo sapiens (Human)	861
Q00899	Q00899	reviewed	TYY1_MOUSE	Transcriptional repressor protein YY1 (Delta transcription factor) (NF-E1) (UCR-motif DNA-binding protein) (Yin and yang 1) (YY-1)	Yy1 Ucrbp	Mus musculus (Mouse)	414
O43347	O43347	reviewed	MSI1H_HUMAN	RNA-binding protein Musashi homolog 1 (Musashi-1)	MSI1	Homo sapiens (Human)	362
Q92615	Q92615	reviewed	LAR4B_HUMAN	La-related protein 4B (La ribonucleoprotein domain family member 4B) (La ribonucleoprotein domain family member 5) (La-related protein 5)	LARP4B KIAA0217 LARP5	Homo sapiens (Human)	738
D3YVV7	A0A1W2P872	reviewed	NOVA2_MOUSE	RNA-binding protein Nova-2	Nova2	Mus musculus (Mouse)	492
P29341	P29341	reviewed	PABP1_MOUSE	Polyadenylate-binding protein 1 (PABP-1) (Poly(A)-binding protein 1)	Pabpc1 Pabp1	Mus musculus (Mouse)	636
Q920Q6	Q920Q6	reviewed	MSI2H_MOUSE	RNA-binding protein Musashi homolog 2 (Musashi-2)	Msi2 Msi2h	Mus musculus (Mouse)	346
Q8TCT6	Q8TCT6	reviewed	SPPL3_HUMAN	Signal peptide peptidase-like 3 (SPP-like 3) (EC 3.4.23.-) (Intramembrane protease 2) (IMP-2) (Presenilin homologous protein 1) (PSH1) (Presenilin-like protein 4)	SPPL3 IMP2 PSL4	Homo sapiens (Human)	384
Q8VDJ3	Q8VDJ3	reviewed	VIGLN_MOUSE	Vigilin (High density lipoprotein-binding protein) (HDL-binding protein)	Hdlbp	Mus musculus (Mouse)	1268
Q8VDS3	Q8VDS3	reviewed	CBX7_MOUSE	Chromobox protein homolog 7	Cbx7 D15Ertd417e	Mus musculus (Mouse)	158
Q99KG3	Q99KG3	reviewed	RBM10_MOUSE	RNA-binding protein 10 (RNA-binding motif protein 10)	Rbm10 Kiaa0122	Mus musculus (Mouse)	930
Q8TDD1	Q8TDD1	reviewed	DDX54_HUMAN	ATP-dependent RNA helicase DDX54 (EC 3.6.4.13) (ATP-dependent RNA helicase DP97) (DEAD box RNA helicase 97 kDa) (DEAD box protein 54)	DDX54	Homo sapiens (Human)	881
Q9UKV0	Q9UKV0	reviewed	HDAC9_HUMAN	Histone deacetylase 9 (HD9) (EC 3.5.1.98) (Histone deacetylase 7B) (HD7) (HD7b) (Histone deacetylase-related protein) (MEF2-interacting transcription repressor MITR)	HDAC9 HDAC7 HDAC7B HDRP KIAA0744 MITR	Homo sapiens (Human)	1011
P52912	P52912	reviewed	TIA1_MOUSE	Cytotoxic granule associated RNA binding protein TIA1 (Nucleolysin TIA-1) (RNA-binding protein TIA-1) (T-cell-restricted intracellular antigen-1) (TIA-1)	Tia1 Tia	Mus musculus (Mouse)	386
Q8VIJ6	Q8VIJ6	reviewed	SFPQ_MOUSE	Splicing factor, proline- and glutamine-rich (DNA-binding p52/p100 complex, 100 kDa subunit) (Polypyrimidine tract-binding protein-associated-splicing factor) (PSF) (PTB-associated-splicing factor)	Sfpq Psf	Mus musculus (Mouse)	699
P52480	P52480	reviewed	KPYM_MOUSE	Pyruvate kinase PKM (EC 2.7.1.40) (Pyruvate kinase muscle isozyme) (Threonine-protein kinase PKM2) (EC 2.7.11.1) (Tyrosine-protein kinase PKM2) (EC 2.7.10.2)	Pkm Pk3 Pkm2 Pykm	Mus musculus (Mouse)	531
Q9QX05	Q9QX05	reviewed	TLR4_RAT	Toll-like receptor 4 (Toll4) (CD antigen CD284)	Tlr4	Rattus norvegicus (Rat)	835
Q548Y4	Q548Y4	unreviewed	Q548Y4_MOUSE	Nuclear transcription factor RelA (V-rel reticuloendotheliosis viral oncogene homolog A (Avian))	Rela	Mus musculus (Mouse)	549
Q3UBT1	Q3UBT1	unreviewed	Q3UBT1_MOUSE	Y box protein 1	Ybx1 1700102N10Rik dbpB EF1A MSY1 mYB-1a YB-1	Mus musculus (Mouse)	322
Q8BUM1	Q8BUM1	unreviewed	Q8BUM1_MOUSE	TAR DNA-binding protein 43	Tardbp	Mus musculus (Mouse)	301
Q02248	Q02248	reviewed	CTNB1_MOUSE	Catenin beta-1 (Beta-catenin)	Ctnnb1 Catnb	Mus musculus (Mouse)	781
Q60520	Q60520	reviewed	SIN3A_MOUSE	Paired amphipathic helix protein Sin3a (Histone deacetylase complex subunit Sin3a) (Transcriptional corepressor Sin3a)	Sin3a Kiaa4126	Mus musculus (Mouse)	1274
Q8C796	Q8C796	reviewed	RCOR2_MOUSE	REST corepressor 2 (M-CoREST)	Rcor2	Mus musculus (Mouse)	523
Q99MQ3	Q99MQ3	reviewed	PINK1_MOUSE	Serine/threonine-protein kinase PINK1, mitochondrial (EC 2.7.11.1) (BRPK) (PTEN-induced putative kinase protein 1)	Pink1	Mus musculus (Mouse)	580
O88597	O88597	reviewed	BECN1_MOUSE	Beclin-1 (Coiled-coil myosin-like BCL2-interacting protein) [Cleaved into: Beclin-1-C 35 kDa; Beclin-1-C 37 kDa]	Becn1	Mus musculus (Mouse)	448
Q6AXH7	Q6AXH7	unreviewed	Q6AXH7_MOUSE	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)	Ezh2	Mus musculus (Mouse)	742
E9PUR6	P06537	reviewed	GCR_MOUSE	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)	Nr3c1 Grl Grl1	Mus musculus (Mouse)	792
Q3UUV0	Q3UUV0	unreviewed	Q3UUV0_MOUSE	CDKN1A interacting zinc finger protein 1	Ciz1	Mus musculus (Mouse)	791
Q80ZA1	Q80ZA1	unreviewed	Q80ZA1_MOUSE	Cellular tumor antigen p53	Trp53	Mus musculus (Mouse)	381
B5DFE2	B5DFE2	unreviewed	B5DFE2_RAT	Histone-lysine N-methyltransferase EZH2 (EC 2.1.1.356)	Ezh2 LOC312299 rCG_28121	Rattus norvegicus (Rat)	746
P68136	P68136	reviewed	ACTS_RAT	Actin, alpha skeletal muscle (EC 3.6.4.-) (Alpha-actin-1) [Cleaved into: Actin, alpha skeletal muscle, intermediate form]	Acta1 Acta	Rattus norvegicus (Rat)	377
Q6PEB3	Q6PEB3	unreviewed	Q6PEB3_MOUSE	BCL2-like 11 (apoptosis facilitator) (Bcl2l11 protein)	Bcl2l11	Mus musculus (Mouse)	91
Q3U5F6	Q3U5F6	unreviewed	Q3U5F6_MOUSE	Selectin, endothelial cell	Sele	Mus musculus (Mouse)	619
Q922I7	P17225	reviewed	PTBP1_MOUSE	Polypyrimidine tract-binding protein 1 (PTB) (Heterogeneous nuclear ribonucleoprotein I) (hnRNP I)	Ptbp1 Ptb	Mus musculus (Mouse)	555
Q5QJQ9	Q5QJQ9	unreviewed	Q5QJQ9_MOUSE	Cellular nucleic acid binding protein	Cnbp Cnbp1	Mus musculus (Mouse)	178
P40763	P40763	reviewed	STAT3_HUMAN	Signal transducer and activator of transcription 3 (Acute-phase response factor)	STAT3 APRF	Homo sapiens (Human)	770
O43623	O43623	reviewed	SNAI2_HUMAN	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	SNAI2 SLUG SLUGH	Homo sapiens (Human)	268
P62333	P62333	reviewed	PRS10_HUMAN	26S proteasome regulatory subunit 10B (26S proteasome AAA-ATPase subunit RPT4) (Proteasome 26S subunit ATPase 6) (Proteasome subunit p42)	PSMC6 SUG2	Homo sapiens (Human)	389
Q499G7	Q499G7	unreviewed	Q499G7_HUMAN	Mitogen-activated protein kinase (EC 2.7.11.24)	MAPK1	Homo sapiens (Human)	360
Q14671	Q14671	reviewed	PUM1_HUMAN	Pumilio homolog 1 (HsPUM) (Pumilio-1)	PUM1 KIAA0099 PUMH1	Homo sapiens (Human)	1186
Q96LU5	Q96LU5	reviewed	IMP1L_HUMAN	Mitochondrial inner membrane protease subunit 1 (EC 3.4.21.-) (IMP1-like protein)	IMMP1L	Homo sapiens (Human)	166
Q6ZP53	Q6ZP53	unreviewed	Q6ZP53_HUMAN	cDNA FLJ26493 fis, clone KDN06317, highly similar to Ras-GTPase-activating protein binding protein 1		Homo sapiens (Human)	307
P08047	P08047	reviewed	SP1_HUMAN	Transcription factor Sp1	SP1 TSFP1	Homo sapiens (Human)	785
Q92793	Q92793	reviewed	CBP_HUMAN	CREB-binding protein (Histone lysine acetyltransferase CREBBP) (EC 2.3.1.48) (Protein-lysine acetyltransferase CREBBP) (EC 2.3.1.-)	CREBBP CBP	Homo sapiens (Human)	2442
P09874	P09874	reviewed	PARP1_HUMAN	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]	PARP1 ADPRT PPOL	Homo sapiens (Human)	1014
P29350	P29350	reviewed	PTN6_HUMAN	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)	PTPN6 HCP PTP1C	Homo sapiens (Human)	595
Q53GA5	Q53GA5	unreviewed	Q53GA5_HUMAN	Tumor protein p53 variant		Homo sapiens (Human)	158
Q13761	Q13761	reviewed	RUNX3_HUMAN	Runt-related transcription factor 3 (Acute myeloid leukemia 2 protein) (Core-binding factor subunit alpha-3) (CBF-alpha-3) (Oncogene AML-2) (Polyomavirus enhancer-binding protein 2 alpha C subunit) (PEA2-alpha C) (PEBP2-alpha C) (SL3-3 enhancer factor 1 alpha C subunit) (SL3/AKV core-binding factor alpha C subunit)	RUNX3 AML2 CBFA3 PEBP2A3	Homo sapiens (Human)	415
P02751	P02751	reviewed	FINC_HUMAN	Fibronectin (FN) (Cold-insoluble globulin) (CIG) [Cleaved into: Anastellin; Ugl-Y1; Ugl-Y2; Ugl-Y3]	FN1 FN	Homo sapiens (Human)	2477
J3QQW9	J3QQW9	unreviewed	J3QQW9_HUMAN	SUZ12 polycomb repressive complex 2 subunit	SUZ12	Homo sapiens (Human)	716
Q12778	Q12778	reviewed	FOXO1_HUMAN	Forkhead box protein O1 (Forkhead box protein O1A) (Forkhead in rhabdomyosarcoma)	FOXO1 FKHR FOXO1A	Homo sapiens (Human)	655
Q9Y4K0	Q9Y4K0	reviewed	LOXL2_HUMAN	Lysyl oxidase homolog 2 (EC 1.4.3.13) (Lysyl oxidase-like protein 2) (Lysyl oxidase-related protein 2) (Lysyl oxidase-related protein WS9-14)	LOXL2	Homo sapiens (Human)	774
Q15648	Q15648	reviewed	MED1_HUMAN	Mediator of RNA polymerase II transcription subunit 1 (Activator-recruited cofactor 205 kDa component) (ARC205) (Mediator complex subunit 1) (Peroxisome proliferator-activated receptor-binding protein) (PBP) (PPAR-binding protein) (Thyroid hormone receptor-associated protein complex 220 kDa component) (Trap220) (Thyroid receptor-interacting protein 2) (TR-interacting protein 2) (TRIP-2) (Vitamin D receptor-interacting protein complex component DRIP205) (p53 regulatory protein RB18A)	MED1 ARC205 CRSP1 CRSP200 DRIP205 DRIP230 PBP PPARBP PPARGBP RB18A TRAP220 TRIP2	Homo sapiens (Human)	1581
Q93074	Q93074	reviewed	MED12_HUMAN	Mediator of RNA polymerase II transcription subunit 12 (Activator-recruited cofactor 240 kDa component) (ARC240) (CAG repeat protein 45) (Mediator complex subunit 12) (OPA-containing protein) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230) (Trinucleotide repeat-containing gene 11 protein)	MED12 ARC240 CAGH45 HOPA KIAA0192 TNRC11 TRAP230	Homo sapiens (Human)	2177
P62633	P62633	reviewed	CNBP_HUMAN	CCHC-type zinc finger nucleic acid binding protein (Cellular nucleic acid-binding protein) (CNBP) (Zinc finger protein 9)	CNBP RNF163 ZNF9	Homo sapiens (Human)	177
Q4LE51	Q4LE51	unreviewed	Q4LE51_HUMAN	phosphatidylinositol-4,5-bisphosphate 3-kinase (EC 2.7.1.153)	PIK3CA variant protein	Homo sapiens (Human)	1069
P20809	P20809	reviewed	IL11_HUMAN	Interleukin-11 (IL-11) (Adipogenesis inhibitory factor) (AGIF) (Oprelvekin)	IL11	Homo sapiens (Human)	199
P35222	P35222	reviewed	CTNB1_HUMAN	Catenin beta-1 (Beta-catenin)	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	Homo sapiens (Human)	781
Q9NRG4	Q9NRG4	reviewed	SMYD2_HUMAN	N-lysine methyltransferase SMYD2 (EC 2.1.1.-) (HSKM-B) (Histone methyltransferase SMYD2) (EC 2.1.1.354) (Lysine N-methyltransferase 3C) (SET and MYND domain-containing protein 2)	SMYD2 KMT3C	Homo sapiens (Human)	433
Q96PK6	Q96PK6	reviewed	RBM14_HUMAN	RNA-binding protein 14 (Paraspeckle protein 2) (PSP2) (RNA-binding motif protein 14) (RRM-containing coactivator activator/modulator) (Synaptotagmin-interacting protein) (SYT-interacting protein)	RBM14 SIP	Homo sapiens (Human)	669
O95352	O95352	reviewed	ATG7_HUMAN	Ubiquitin-like modifier-activating enzyme ATG7 (ATG12-activating enzyme E1 ATG7) (Autophagy-related protein 7) (APG7-like) (hAGP7) (Ubiquitin-activating enzyme E1-like protein)	ATG7 APG7L	Homo sapiens (Human)	703
Q96CA5	Q96CA5	reviewed	BIRC7_HUMAN	Baculoviral IAP repeat-containing protein 7 (EC 2.3.2.27) (Kidney inhibitor of apoptosis protein) (KIAP) (Livin) (Melanoma inhibitor of apoptosis protein) (ML-IAP) (RING finger protein 50) (RING-type E3 ubiquitin transferase BIRC7) [Cleaved into: Baculoviral IAP repeat-containing protein 7 30kDa subunit (Truncated livin) (p30-Livin) (tLivin)]	BIRC7 KIAP LIVIN MLIAP RNF50 UNQ5800/PRO19607/PRO21344	Homo sapiens (Human)	298
O14497	O14497	reviewed	ARI1A_HUMAN	AT-rich interactive domain-containing protein 1A (ARID domain-containing protein 1A) (B120) (BRG1-associated factor 250) (BAF250) (BRG1-associated factor 250a) (BAF250A) (Osa homolog 1) (hOSA1) (SWI-like protein) (SWI/SNF complex protein p270) (SWI/SNF-related, matrix-associated, actin-dependent regulator of chromatin subfamily F member 1) (hELD)	ARID1A BAF250 BAF250A C1orf4 OSA1 SMARCF1	Homo sapiens (Human)	2285
Q01826	Q01826	reviewed	SATB1_HUMAN	DNA-binding protein SATB1 (Special AT-rich sequence-binding protein 1)	SATB1	Homo sapiens (Human)	763
Q9BSD8	Q9BSD8	unreviewed	Q9BSD8_HUMAN	Similar to E2F transcription factor 1		Homo sapiens (Human)	96
Q6IT96	Q6IT96	unreviewed	Q6IT96_HUMAN	Histone deacetylase (EC 3.5.1.98)	HDAC1 hCG_41610	Homo sapiens (Human)	482
Q4LE69	Q4LE69	unreviewed	Q4LE69_HUMAN	1-phosphatidylinositol 4-kinase (EC 2.7.1.67)	PIK4CA variant protein	Homo sapiens (Human)	2121
Q9H3D4	Q9H3D4	reviewed	P63_HUMAN	Tumor protein 63 (p63) (Chronic ulcerative stomatitis protein) (CUSP) (Keratinocyte transcription factor KET) (Transformation-related protein 63) (TP63) (Tumor protein p73-like) (p73L) (p40) (p51)	TP63 KET P63 P73H P73L TP73L	Homo sapiens (Human)	680
Q5STB3	Q5STB3	unreviewed	Q5STB3_HUMAN	Tumor necrosis factor (TNF-a) (Cachectin) (TNF-alpha) (Tumor necrosis factor ligand superfamily member 2) [Cleaved into: Intracellular domain 1 (ICD1); Intracellular domain 2 (ICD2); C-domain 1; C-domain 2; Tumor necrosis factor, soluble form]	TNF TNF-alpha TNFA TNLG1F hCG_43716	Homo sapiens (Human)	233
Q9NT62	Q9NT62	reviewed	ATG3_HUMAN	Ubiquitin-like-conjugating enzyme ATG3 (EC 2.3.2.-) (Autophagy-related protein 3) (APG3-like) (hApg3) (Protein PC3-96)	ATG3 APG3 APG3L	Homo sapiens (Human)	314
Q86VG2	Q86VG2	unreviewed	Q86VG2_HUMAN	Splicing factor proline/glutamine-rich (Polypyrimidine tract binding protein associated)	SFPQ	Homo sapiens (Human)	707
Q04206	Q04206	reviewed	TF65_HUMAN	Transcription factor p65 (Nuclear factor NF-kappa-B p65 subunit) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 3)	RELA NFKB3	Homo sapiens (Human)	551
Q08050	Q08050	reviewed	FOXM1_HUMAN	Forkhead box protein M1 (Forkhead-related protein FKHL16) (Hepatocyte nuclear factor 3 forkhead homolog 11) (HFH-11) (HNF-3/fork-head homolog 11) (M-phase phosphoprotein 2) (MPM-2 reactive phosphoprotein 2) (Transcription factor Trident) (Winged-helix factor from INS-1 cells)	FOXM1 FKHL16 HFH11 MPP2 WIN	Homo sapiens (Human)	763
Q6UX01	Q6UX01	reviewed	LMBRL_HUMAN	Protein LMBR1L (Limb region 1 protein homolog-like) (Lipocalin-1-interacting membrane receptor) (LIMR)	LMBR1L KIAA1174 LIMR UNQ458/PRO783	Homo sapiens (Human)	489
Q16236	Q16236	reviewed	NF2L2_HUMAN	Nuclear factor erythroid 2-related factor 2 (NF-E2-related factor 2) (NFE2-related factor 2) (Nrf-2) (HEBP1) (Nuclear factor, erythroid derived 2, like 2)	NFE2L2 NRF2	Homo sapiens (Human)	605
P35579	P35579	reviewed	MYH9_HUMAN	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	MYH9	Homo sapiens (Human)	1960
Q9P0R6	Q9P0R6	reviewed	GSKIP_HUMAN	GSK3B-interacting protein (GSKIP) (GSK3beta interaction protein)	GSKIP C14orf129 HSPC210	Homo sapiens (Human)	139
Q9BYF1	Q9BYF1	reviewed	ACE2_HUMAN	Angiotensin-converting enzyme 2 (EC 3.4.17.23) (Angiotensin-converting enzyme homolog) (ACEH) (Angiotensin-converting enzyme-related carboxypeptidase) (ACE-related carboxypeptidase) (EC 3.4.17.-) (Metalloprotease MPROT15) [Cleaved into: Processed angiotensin-converting enzyme 2]	ACE2 UNQ868/PRO1885	Homo sapiens (Human)	805
